Identifier Value,Field,Value
STT,LAST_PRICE,41.61
CRM,LAST_PRICE,145.39
ATI,LAST_PRICE,60.73
PBCT,LAST_PRICE,13.01
AZO,LAST_PRICE,289.15
FTI,LAST_PRICE,44.61
MTB,LAST_PRICE,87.14
RDC,LAST_PRICE,38.69
FII,LAST_PRICE,21.29
EOG,LAST_PRICE,104.07
KLAC,LAST_PRICE,41.77
KG,LAST_PRICE,14.24
LEN,LAST_PRICE,17.46
GLW,LAST_PRICE,16.04
SYMC,LAST_PRICE,18.415
LLL,LAST_PRICE,79.12
VIA/B,LAST_PRICE,49.29
COG,LAST_PRICE,70.96
STI,LAST_PRICE,24.65
HAS,LAST_PRICE,39.89
AVP,LAST_PRICE,27.74
MDT,LAST_PRICE,35.88
WPI,LAST_PRICE,68.41
MYL,LAST_PRICE,22.9
ADM,LAST_PRICE,31.01
USB,LAST_PRICE,26.22
FDO,LAST_PRICE,53.33
GAS,LAST_PRICE,55.08
CNP,LAST_PRICE,20.05
PCS,LAST_PRICE,16.45
JCI,LAST_PRICE,37.2
ROK,LAST_PRICE,77.07
CI,LAST_PRICE,50.01
BHI,LAST_PRICE,78.12
FITB,LAST_PRICE,12.7
TRV,LAST_PRICE,56.27
OXY,LAST_PRICE,101.4
FLIR,LAST_PRICE,27.68
CEG,LAST_PRICE,39.59
LM,LAST_PRICE,30.54
ADI,LAST_PRICE,34.85
EQR,LAST_PRICE,62.49
CAG,LAST_PRICE,25.78
MCK,LAST_PRICE,80.55
SPG,LAST_PRICE,119.21
APH,LAST_PRICE,49.18
CMA,LAST_PRICE,32.67
SNDK,LAST_PRICE,42
ISRG,LAST_PRICE,393.58
DHI,LAST_PRICE,11.6
WMT,LAST_PRICE,53.25
WPO,LAST_PRICE,419.82
ORLY,LAST_PRICE,61.45
TDC,LAST_PRICE,55.01
PX,LAST_PRICE,101.69
BMY,LAST_PRICE,28.61
DELL,LAST_PRICE,16.445
FDX,LAST_PRICE,89.14
LMT,LAST_PRICE,77.46
AA,LAST_PRICE,14.93
SLM,LAST_PRICE,15.57
KMX,LAST_PRICE,32.68
TSS,LAST_PRICE,19.13
CAH,LAST_PRICE,43.69
AMT,LAST_PRICE,51.22
PHM,LAST_PRICE,7
DTV,LAST_PRICE,51.44
BBY,LAST_PRICE,28.78
ABT,LAST_PRICE,51.83
BSX,LAST_PRICE,6.71
DGX,LAST_PRICE,54.42
VMC,LAST_PRICE,34.45
SBUX,LAST_PRICE,38.97
WU,LAST_PRICE,19.56
QEP,LAST_PRICE,43
MON,LAST_PRICE,73.9
NSM,LAST_PRICE,24.7
UTX,LAST_PRICE,83.74
XOM,LAST_PRICE,83.31
NEM,LAST_PRICE,57.32
AMZN,LAST_PRICE,222.518
GS,LAST_PRICE,134.72
TER,LAST_PRICE,13.76
PPG,LAST_PRICE,85
BRK/B,LAST_PRICE,74.69
FSLR,LAST_PRICE,116.6
OMC,LAST_PRICE,47.01
PM,LAST_PRICE,71.77
TE,LAST_PRICE,18.81
EXPD,LAST_PRICE,47.6
SWY,LAST_PRICE,20.33
WLP,LAST_PRICE,68.7
MFE,LAST_PRICE,47.95
RRD,LAST_PRICE,19.11
MET,LAST_PRICE,39.59
NYT,LAST_PRICE,8.66
AMAT,LAST_PRICE,12.64
UNM,LAST_PRICE,24.36
SAI,LAST_PRICE,16.23
CBS,LAST_PRICE,28.08
POM,LAST_PRICE,19.05
SRCL,LAST_PRICE,89.46
GE,LAST_PRICE,18.11
EIX,LAST_PRICE,38.85
VFC,LAST_PRICE,115.03
FRX,LAST_PRICE,37.37
WEC,LAST_PRICE,31.27
TSN,LAST_PRICE,17.61
SLB,LAST_PRICE,91.68
JEC,LAST_PRICE,39.84
STJ,LAST_PRICE,47.03
VLO,LAST_PRICE,25.44
PCAR,LAST_PRICE,43.85
HOT,LAST_PRICE,55.71
MKC,LAST_PRICE,49.04
SEE,LAST_PRICE,21.8
PEP,LAST_PRICE,63.86
DVN,LAST_PRICE,81.61
RSH,LAST_PRICE,14.46
CERN,LAST_PRICE,61.85
PEG,LAST_PRICE,33.24
MA,LAST_PRICE,303.09
CEPH,LAST_PRICE,80.16
HAL,LAST_PRICE,55.01
NYX,LAST_PRICE,34.24
ADSK,LAST_PRICE,34.9
KFT,LAST_PRICE,34.53
HCP,LAST_PRICE,36.61
IGT,LAST_PRICE,18.8
UPS,LAST_PRICE,70.21
RHT,LAST_PRICE,42.6
SWK,LAST_PRICE,65.28
PWR,LAST_PRICE,18.91
MCHP,LAST_PRICE,33.54
LNC,LAST_PRICE,26.49
AVB,LAST_PRICE,134.36
CF,LAST_PRICE,155.87
HUM,LAST_PRICE,74.77
CMI,LAST_PRICE,106.49
ADP,LAST_PRICE,52.38
EMN,LAST_PRICE,101.32
FLR,LAST_PRICE,64.39
HOG,LAST_PRICE,43.93
MHP,LAST_PRICE,43.07
D,LAST_PRICE,49.05
LSI,LAST_PRICE,6.44
JNS,LAST_PRICE,8.38
HNZ,LAST_PRICE,52.76
HRL,LAST_PRICE,29.3
DISCA,LAST_PRICE,39.92
HST,LAST_PRICE,16.15
HCBK,LAST_PRICE,8.2
BLL,LAST_PRICE,39.28
JBL,LAST_PRICE,18.95
WDC,LAST_PRICE,35.51
TMK,LAST_PRICE,40.19
BIIB,LAST_PRICE,101.81
BK,LAST_PRICE,25.1
NWSA,LAST_PRICE,16
CSC,LAST_PRICE,35.51
DOW,LAST_PRICE,34.99
HSY,LAST_PRICE,57.44
MO,LAST_PRICE,26.11
PCG,LAST_PRICE,42.12
KSS,LAST_PRICE,55
BBBY,LAST_PRICE,57.84
SHW,LAST_PRICE,77.64
AEP,LAST_PRICE,37.69
RHI,LAST_PRICE,27.17
VTR,LAST_PRICE,54.31
PCP,LAST_PRICE,156.05
CNX,LAST_PRICE,52.91
NKE,LAST_PRICE,88.72
ICE,LAST_PRICE,123.08
PXD,LAST_PRICE,94.86
NOC,LAST_PRICE,62.68
V,LAST_PRICE,87.75
TAP,LAST_PRICE,45.44
XEL,LAST_PRICE,24.49
IRM,LAST_PRICE,33.46
PNW,LAST_PRICE,43.24
AMGN,LAST_PRICE,53.8
FE,LAST_PRICE,45.13
CTXS,LAST_PRICE,70.94
PPL,LAST_PRICE,28.63
Q,LAST_PRICE,6.83
AKAM,LAST_PRICE,29.48
EXPE,LAST_PRICE,29.76
AFL,LAST_PRICE,44.15
R,LAST_PRICE,57.88
WAT,LAST_PRICE,86.65
EBAY,LAST_PRICE,33.36
NOVL,LAST_PRICE,6.099
TEG,LAST_PRICE,50.95
SWN,LAST_PRICE,47.48
COP,LAST_PRICE,73.13
MAS,LAST_PRICE,10.92
AVY,LAST_PRICE,31.65
GNW,LAST_PRICE,7.95
WFC,LAST_PRICE,28.58
LOW,LAST_PRICE,22.46
NVLS,LAST_PRICE,31.52
WIN,LAST_PRICE,12.39
PRU,LAST_PRICE,58.3
AN,LAST_PRICE,38.96
DF,LAST_PRICE,11.36
TWC,LAST_PRICE,77.1
BTU,LAST_PRICE,58.54
CAT,LAST_PRICE,101.34
SYK,LAST_PRICE,54.48
BEN,LAST_PRICE,126.93
AKS,LAST_PRICE,12.42
AON,LAST_PRICE,49.93
GOOG,LAST_PRICE,607.22
VNO,LAST_PRICE,93.84
BXP,LAST_PRICE,106.99
HSP,LAST_PRICE,52.4
MS,LAST_PRICE,22.54
ERTS,LAST_PRICE,22.97
TXN,LAST_PRICE,30.39
GENZ,LAST_PRICE,76.25
CTAS,LAST_PRICE,32.65
CLF,LAST_PRICE,93.59
IP,LAST_PRICE,29.87
COL,LAST_PRICE,55.04
JPM,LAST_PRICE,40.67
MUR,LAST_PRICE,66.92
LIFE,LAST_PRICE,48.41
COST,LAST_PRICE,78.39
A,LAST_PRICE,42.46
CVH,LAST_PRICE,34.35
F,LAST_PRICE,12.37
AES,LAST_PRICE,12.71
ITT,LAST_PRICE,54.94
MI,LAST_PRICE,7.9
CVS,LAST_PRICE,36.06
CPWR,LAST_PRICE,9.85
LXK,LAST_PRICE,33.73
JWN,LAST_PRICE,49.23
TJX,LAST_PRICE,54.85
WHR,LAST_PRICE,71.38
SNA,LAST_PRICE,57.39
MWW,LAST_PRICE,13.14
CCE,LAST_PRICE,29.33
CTL,LAST_PRICE,37.62
NTRS,LAST_PRICE,44.86
CL,LAST_PRICE,85.49
MEE,LAST_PRICE,65.14
NSC,LAST_PRICE,76.12
GME,LAST_PRICE,23.5
DTE,LAST_PRICE,50.71
MWV,LAST_PRICE,32.03
ECL,LAST_PRICE,50.15
CVX,LAST_PRICE,105.63
THC,LAST_PRICE,5.68
CINF,LAST_PRICE,27.74
MDP,LAST_PRICE,29.13
SPLS,LAST_PRICE,15.955
ESRX,LAST_PRICE,54.5
MCD,LAST_PRICE,87.09
RL,LAST_PRICE,133.03
CME,LAST_PRICE,278.51
DRI,LAST_PRICE,51.26
ITW,LAST_PRICE,50.72
ALTR,LAST_PRICE,40.33
SCG,LAST_PRICE,39.83
DHR,LAST_PRICE,49.23
ETN,LAST_PRICE,49.3
NUE,LAST_PRICE,39
UNP,LAST_PRICE,102.2
PGN,LAST_PRICE,47.26
HRS,LAST_PRICE,41.28
MOLX,LAST_PRICE,24.12
PH,LAST_PRICE,79.93
SE,LAST_PRICE,27.16
HCN,LAST_PRICE,52.91
PFE,LAST_PRICE,19.3
WMB,LAST_PRICE,32.1
SJM,LAST_PRICE,78.65
AGN,LAST_PRICE,80.91
LO,LAST_PRICE,104.78
BCR,LAST_PRICE,99.06
COF,LAST_PRICE,47.61
NTAP,LAST_PRICE,47.28
XLNX,LAST_PRICE,32.27
PNC,LAST_PRICE,54.5
PTV,LAST_PRICE,33.23
MJN,LAST_PRICE,67.48
TSO,LAST_PRICE,24.42
CB,LAST_PRICE,63.69
KR,LAST_PRICE,24.98
JCP,LAST_PRICE,30.93
WYN,LAST_PRICE,34.73
CHK,LAST_PRICE,33.4
CMCSA,LAST_PRICE,24.66
GPS,LAST_PRICE,18.96
LLY,LAST_PRICE,37.98
NI,LAST_PRICE,20.36
QLGC,LAST_PRICE,15.89
UNH,LAST_PRICE,49.89
PFG,LAST_PRICE,27.43
EK,LAST_PRICE,2.42
NU,LAST_PRICE,34.85
SVU,LAST_PRICE,8.74
NOV,LAST_PRICE,80
CA,LAST_PRICE,22.22
PDCO,LAST_PRICE,30.84
FISV,LAST_PRICE,61.45
FLS,LAST_PRICE,103.05
KIM,LAST_PRICE,19.25
EP,LAST_PRICE,20.92
HIG,LAST_PRICE,23.08
APD,LAST_PRICE,89.88
DOV,LAST_PRICE,61.65
KMB,LAST_PRICE,66.2
SLE,LAST_PRICE,19.42
SUN,LAST_PRICE,40.87
ZION,LAST_PRICE,22.16
RAI,LAST_PRICE,35.13
EMC,LAST_PRICE,26.6
SCHW,LAST_PRICE,14.92
VRSN,LAST_PRICE,32.71
VAR,LAST_PRICE,67.12
WFMI,LAST_PRICE,65.43
DV,LAST_PRICE,64.2
ROP,LAST_PRICE,83.23
CHRW,LAST_PRICE,73.88
INTC,LAST_PRICE,22.53
EL,LAST_PRICE,104.65
HON,LAST_PRICE,53.46
GILD,LAST_PRICE,42.97
AYE,LAST_PRICE,24.8696
EMR,LAST_PRICE,50.43
HES,LAST_PRICE,70.28
ZMH,LAST_PRICE,60.84
WYNN,LAST_PRICE,159.17
PGR,LAST_PRICE,19.84
PCLN,LAST_PRICE,517.21
BRCM,LAST_PRICE,37.04
ROST,LAST_PRICE,75.34
AMP,LAST_PRICE,51.57
FHN,LAST_PRICE,9.06
WAG,LAST_PRICE,38.96
PG,LAST_PRICE,62.2
STZ,LAST_PRICE,20.51
URBN,LAST_PRICE,32.16
APOL,LAST_PRICE,52.52
QCOM,LAST_PRICE,54.59
BA,LAST_PRICE,70.63
JNPR,LAST_PRICE,24.66
CMS,LAST_PRICE,19.61
GT,LAST_PRICE,17.17
TIF,LAST_PRICE,79.05
AXP,LAST_PRICE,50.48
SO,LAST_PRICE,40.2
CAM,LAST_PRICE,50.56
PCL,LAST_PRICE,38.5
DVA,LAST_PRICE,82.65
IBM,LAST_PRICE,181.35
EFX,LAST_PRICE,33.15
SNI,LAST_PRICE,47.35
DIS,LAST_PRICE,39.52
TLAB,LAST_PRICE,4.23
DNR,LAST_PRICE,19.8
ETR,LAST_PRICE,68.14
CELG,LAST_PRICE,59.48
TGT,LAST_PRICE,50.35
PLL,LAST_PRICE,51.9
MRK,LAST_PRICE,35.19
INTU,LAST_PRICE,47.25
HP,LAST_PRICE,70.39
DUK,LAST_PRICE,18.76
MAR,LAST_PRICE,33.38
CCL,LAST_PRICE,34.97
TIE,LAST_PRICE,18.14
DFS,LAST_PRICE,25.51
ODP,LAST_PRICE,3.82
BMC,LAST_PRICE,48.89
CSCO,LAST_PRICE,15.69
C,LAST_PRICE,38.27
FNMA,LAST_PRICE,0.331
T,LAST_PRICE,29.96
BAC,LAST_PRICE,9.68
ABB,LAST_PRICE,24.13
CTSH,LAST_PRICE,69.88
GD,LAST_PRICE,68.63
MRO,LAST_PRICE,31.5
BIG,LAST_PRICE,35.31
TROW,LAST_PRICE,55.97
ORCL,LAST_PRICE,30.71
FCX,LAST_PRICE,54.45
X,LAST_PRICE,39.81
MSFT,LAST_PRICE,27.33
NOK,LAST_PRICE,5.73
JDSU,LAST_PRICE,13.78
NVDA,LAST_PRICE,13.855
GIS,LAST_PRICE,37.52
K,LAST_PRICE,55.55
RIMM,LAST_PRICE,25.71
AAPL,LAST_PRICE,392.59
TIBX,LAST_PRICE,27.19
BBT,LAST_PRICE,25.67
PAYX,LAST_PRICE,28.79
UNIS,LAST_PRICE,4.4
EXC,LAST_PRICE,44.59
ACFC,LAST_PRICE,6
DJX_IDX,LAST_PRICE,132.12
H2SBZ1GR_FUTURE,LAST_PRICE,392.59
SPZ2_FUTURE,LAST_PRICE,1302.67
#Cash,,
USDCASHP1D,LAST_PRICE,0.0025
USDCASHP2D,LAST_PRICE,0.0025
USDCASHP1M,LAST_PRICE,0.0035
USDCASHP2M,LAST_PRICE,0.0044
USDCASHP3M,LAST_PRICE,0.0055
USDCASHP4M,LAST_PRICE,0.0064
USDCASHP5M,LAST_PRICE,0.0073
USDCASHP6M,LAST_PRICE,0.0082
USDCASHP7M,LAST_PRICE,0.0091
USDCASHP8M,LAST_PRICE,0.0105
USDCASHP9M,LAST_PRICE,0.0119
USDCASHP10M,LAST_PRICE,0.0138
USDCASHP11M,LAST_PRICE,0.0151
USDCASHP12M,LAST_PRICE,0.0167
EURCASHP1D,LAST_PRICE,0.0025
EURCASHP2D,LAST_PRICE,0.0025
EURCASHP1M,LAST_PRICE,0.0035
EURCASHP2M,LAST_PRICE,0.0044
EURCASHP3M,LAST_PRICE,0.0055
EURCASHP4M,LAST_PRICE,0.0064
EURCASHP5M,LAST_PRICE,0.0073
EURCASHP6M,LAST_PRICE,0.0082
EURCASHP7M,LAST_PRICE,0.0091
EURCASHP8M,LAST_PRICE,0.0105
EURCASHP9M,LAST_PRICE,0.0119
EURCASHP10M,LAST_PRICE,0.0138
EURCASHP11M,LAST_PRICE,0.0151
EURCASHP12M,LAST_PRICE,0.0167
GBPCASHP1D,LAST_PRICE,0.0025
GBPCASHP2D,LAST_PRICE,0.0025
GBPCASHP1M,LAST_PRICE,0.0035
GBPCASHP2M,LAST_PRICE,0.0044
GBPCASHP3M,LAST_PRICE,0.0055
GBPCASHP4M,LAST_PRICE,0.0064
GBPCASHP5M,LAST_PRICE,0.0073
GBPCASHP6M,LAST_PRICE,0.0082
GBPCASHP7M,LAST_PRICE,0.0091
GBPCASHP8M,LAST_PRICE,0.0105
GBPCASHP9M,LAST_PRICE,0.0119
GBPCASHP10M,LAST_PRICE,0.0138
GBPCASHP11M,LAST_PRICE,0.0151
GBPCASHP12M,LAST_PRICE,0.0167
CHFCASHP1D,LAST_PRICE,0.0025
CHFCASHP2D,LAST_PRICE,0.0025
CHFCASHP1M,LAST_PRICE,0.0035
CHFCASHP2M,LAST_PRICE,0.0044
CHFCASHP3M,LAST_PRICE,0.0055
CHFCASHP4M,LAST_PRICE,0.0064
CHFCASHP5M,LAST_PRICE,0.0073
CHFCASHP6M,LAST_PRICE,0.0082
CHFCASHP7M,LAST_PRICE,0.0091
CHFCASHP8M,LAST_PRICE,0.0105
CHFCASHP9M,LAST_PRICE,0.0119
CHFCASHP10M,LAST_PRICE,0.0138
CHFCASHP11M,LAST_PRICE,0.0151
CHFCASHP12M,LAST_PRICE,0.0167
JPYCASHP1D,LAST_PRICE,0.0025
JPYCASHP2D,LAST_PRICE,0.0025
JPYCASHP1M,LAST_PRICE,0.0035
JPYCASHP2M,LAST_PRICE,0.0044
JPYCASHP3M,LAST_PRICE,0.0055
JPYCASHP4M,LAST_PRICE,0.0064
JPYCASHP5M,LAST_PRICE,0.0073
JPYCASHP6M,LAST_PRICE,0.0082
JPYCASHP7M,LAST_PRICE,0.0091
JPYCASHP8M,LAST_PRICE,0.0105
JPYCASHP9M,LAST_PRICE,0.0119
JPYCASHP10M,LAST_PRICE,0.0138
JPYCASHP11M,LAST_PRICE,0.0151
JPYCASHP12M,LAST_PRICE,0.0167
DKKCASHP1D,LAST_PRICE,0.0025
DKKCASHP1M,LAST_PRICE,0.0035
DKKCASHP2M,LAST_PRICE,0.0044
DKKCASHP3M,LAST_PRICE,0.0055
DKKCASHP4M,LAST_PRICE,0.0064
DKKCASHP5M,LAST_PRICE,0.0073
DKKCASHP6M,LAST_PRICE,0.0082
DKKCASHP7M,LAST_PRICE,0.0091
DKKCASHP8M,LAST_PRICE,0.0105
DKKCASHP9M,LAST_PRICE,0.0119
DKKCASHP10M,LAST_PRICE,0.0138
DKKCASHP11M,LAST_PRICE,0.0151
DKKCASHP12M,LAST_PRICE,0.0167
NZDCASHP1D,LAST_PRICE,0.0025
NZDCASHP1M,LAST_PRICE,0.0035
NZDCASHP2M,LAST_PRICE,0.0044
NZDCASHP3M,LAST_PRICE,0.0055
NZDCASHP4M,LAST_PRICE,0.0064
NZDCASHP5M,LAST_PRICE,0.0073
NZDCASHP6M,LAST_PRICE,0.0082
NZDCASHP7M,LAST_PRICE,0.0091
NZDCASHP8M,LAST_PRICE,0.0105
NZDCASHP9M,LAST_PRICE,0.0119
NZDCASHP10M,LAST_PRICE,0.0138
NZDCASHP11M,LAST_PRICE,0.0151
NZDCASHP12M,LAST_PRICE,0.0167
AUDCASHP1D,LAST_PRICE,0.0025
AUDCASHP2D,LAST_PRICE,0.0025
AUDCASHP1M,LAST_PRICE,0.0035
AUDCASHP2M,LAST_PRICE,0.0044
AUDCASHP3M,LAST_PRICE,0.0055
AUDCASHP4M,LAST_PRICE,0.0064
AUDCASHP5M,LAST_PRICE,0.0073
AUDCASHP6M,LAST_PRICE,0.0082
AUDCASHP7M,LAST_PRICE,0.0091
AUDCASHP8M,LAST_PRICE,0.0105
AUDCASHP9M,LAST_PRICE,0.0119
AUDCASHP10M,LAST_PRICE,0.0138
AUDCASHP11M,LAST_PRICE,0.0151
AUDCASHP12M,LAST_PRICE,0.0167
#Swap,,
USDSWAPP6M,LAST_PRICE,0.0126
USDSWAPP9M,LAST_PRICE,0.0135
USDSWAPP1Y,LAST_PRICE,0.014
USDSWAPP2Y,LAST_PRICE,0.025
USDSWAPP3Y,LAST_PRICE,0.031
USDSWAPP4Y,LAST_PRICE,0.035
USDSWAPP5Y,LAST_PRICE,0.037
USDSWAPP6Y,LAST_PRICE,0.039
USDSWAPP7Y,LAST_PRICE,0.04
USDSWAPP8Y,LAST_PRICE,0.041
USDSWAPP9Y,LAST_PRICE,0.0408
USDSWAPP10Y,LAST_PRICE,0.0406
USDSWAPP12Y,LAST_PRICE,0.0398
USDSWAPP15Y,LAST_PRICE,0.0394
USDSWAPP20Y,LAST_PRICE,0.0391
USDSWAPP25Y,LAST_PRICE,0.0389
USDSWAPP30Y,LAST_PRICE,0.0387
USDSWAPP40Y,LAST_PRICE,0.0384
USDSWAPP50Y,LAST_PRICE,0.0379
USDSWAPP80Y,LAST_PRICE,0.0379
EURSWAPP6M,LAST_PRICE,0.0149
EURSWAPP9M,LAST_PRICE,0.0152
EURSWAPP1Y,LAST_PRICE,0.0165
EURSWAPP2Y,LAST_PRICE,0.025
EURSWAPP3Y,LAST_PRICE,0.031
EURSWAPP4Y,LAST_PRICE,0.035
EURSWAPP5Y,LAST_PRICE,0.037
EURSWAPP6Y,LAST_PRICE,0.039
EURSWAPP7Y,LAST_PRICE,0.04
EURSWAPP8Y,LAST_PRICE,0.041
EURSWAPP9Y,LAST_PRICE,0.0408
EURSWAPP10Y,LAST_PRICE,0.0406
EURSWAPP12Y,LAST_PRICE,0.0398
EURSWAPP15Y,LAST_PRICE,0.0394
EURSWAPP20Y,LAST_PRICE,0.0391
EURSWAPP25Y,LAST_PRICE,0.0389
EURSWAPP30Y,LAST_PRICE,0.0387
EURSWAPP40Y,LAST_PRICE,0.0384
EURSWAPP50Y,LAST_PRICE,0.0379
EURSWAPP80Y,LAST_PRICE,0.0379
GBPSWAPP6M,LAST_PRICE,0.0151
GBPSWAPP9M,LAST_PRICE,0.016
GBPSWAPP1Y,LAST_PRICE,0.0167
GBPSWAPP2Y,LAST_PRICE,0.025
GBPSWAPP3Y,LAST_PRICE,0.031
GBPSWAPP4Y,LAST_PRICE,0.035
GBPSWAPP5Y,LAST_PRICE,0.037
GBPSWAPP6Y,LAST_PRICE,0.039
GBPSWAPP7Y,LAST_PRICE,0.04
GBPSWAPP8Y,LAST_PRICE,0.041
GBPSWAPP9Y,LAST_PRICE,0.0408
GBPSWAPP10Y,LAST_PRICE,0.0406
GBPSWAPP12Y,LAST_PRICE,0.0398
GBPSWAPP15Y,LAST_PRICE,0.0394
GBPSWAPP20Y,LAST_PRICE,0.0391
GBPSWAPP25Y,LAST_PRICE,0.0389
GBPSWAPP30Y,LAST_PRICE,0.0387
GBPSWAPP40Y,LAST_PRICE,0.0384
GBPSWAPP50Y,LAST_PRICE,0.0379
GBPSWAPP80Y,LAST_PRICE,0.0379
CHFSWAPP6M,LAST_PRICE,0.0151
CHFSWAPP9M,LAST_PRICE,0.016
CHFSWAPP1Y,LAST_PRICE,0.0167
CHFSWAPP2Y,LAST_PRICE,0.025
CHFSWAPP3Y,LAST_PRICE,0.031
CHFSWAPP4Y,LAST_PRICE,0.035
CHFSWAPP5Y,LAST_PRICE,0.037
CHFSWAPP6Y,LAST_PRICE,0.039
CHFSWAPP7Y,LAST_PRICE,0.04
CHFSWAPP8Y,LAST_PRICE,0.041
CHFSWAPP9Y,LAST_PRICE,0.0408
CHFSWAPP10Y,LAST_PRICE,0.0406
CHFSWAPP12Y,LAST_PRICE,0.0398
CHFSWAPP15Y,LAST_PRICE,0.0394
CHFSWAPP20Y,LAST_PRICE,0.0391
CHFSWAPP25Y,LAST_PRICE,0.0389
CHFSWAPP30Y,LAST_PRICE,0.0387
CHFSWAPP40Y,LAST_PRICE,0.0384
CHFSWAPP50Y,LAST_PRICE,0.0379
CHFSWAPP80Y,LAST_PRICE,0.0379
JPYSWAPP6M,LAST_PRICE,0.0126
JPYSWAPP9M,LAST_PRICE,0.0132
JPYSWAPP1Y,LAST_PRICE,0.014
JPYSWAPP2Y,LAST_PRICE,0.025
JPYSWAPP3Y,LAST_PRICE,0.031
JPYSWAPP4Y,LAST_PRICE,0.035
JPYSWAPP5Y,LAST_PRICE,0.037
JPYSWAPP6Y,LAST_PRICE,0.039
JPYSWAPP7Y,LAST_PRICE,0.04
JPYSWAPP8Y,LAST_PRICE,0.041
JPYSWAPP9Y,LAST_PRICE,0.0408
JPYSWAPP10Y,LAST_PRICE,0.0406
JPYSWAPP12Y,LAST_PRICE,0.0398
JPYSWAPP15Y,LAST_PRICE,0.0394
JPYSWAPP20Y,LAST_PRICE,0.0391
JPYSWAPP25Y,LAST_PRICE,0.0389
JPYSWAPP30Y,LAST_PRICE,0.0387
JPYSWAPP40Y,LAST_PRICE,0.0384
JPYSWAPP50Y,LAST_PRICE,0.0379
JPYSWAPP80Y,LAST_PRICE,0.0379
NZDSWAPP2Y,LAST_PRICE,0.025
NZDSWAPP3Y,LAST_PRICE,0.031
NZDSWAPP4Y,LAST_PRICE,0.035
NZDSWAPP5Y,LAST_PRICE,0.037
NZDSWAPP6Y,LAST_PRICE,0.039
NZDSWAPP7Y,LAST_PRICE,0.04
NZDSWAPP8Y,LAST_PRICE,0.041
NZDSWAPP9Y,LAST_PRICE,0.0408
NZDSWAPP10Y,LAST_PRICE,0.0406
NZDSWAPP12Y,LAST_PRICE,0.0398
